site,SAMPLEID,X,Y,HEIGHT,stage
TREP,6,3.38,0,0.17,seedling
RREP,1,295.52,0,,seedling
TREP,90,85.3,0.07,0.11,seedling
TREP,88,82.36,0.08,0.46,seedling
RREP,27,198.06,0.08,,seedling
RREP,36,168.34,0.1,,seedling
TREP,65,49.38,0.15,0.25,seedling
TREP,121,156.1,0.18,0.17,seedling
TREP,120,156.27,0.2,0.1,seedling
TREP,119,156.45,0.2,0.1,seedling
RREP,11,250.9,0.27,,seedling
TREP,118,159.2,0.3,0.09,seedling
TREP,85,74.5,0.61,0.15,seedling
TREP,2,0.63,0.68,0.18,seedling
TREP,1,0.02,0.76,0.275,seedling
TREP,111,147.35,0.86,20,adult
TREP,84,75.07,0.88,0.22,seedling
TREP,124,162.9,0.9,0.15,seedling
TREP,106,122.54,0.97,0.3,seedling
TREP,99,103.5,1,12,sapling
RREP,45,99.5,1.08,,seedling
TREP,162,198.25,1.17,0.18,seedling
TREP,15,9.7,1.24,0.21,seedling
TREP,42,24.21,1.24,0.27,seedling
TREP,93,95,1.27,0.15,seedling
TREP,96,101.17,1.38,0.1,seedling
TREP,44,25.9,1.4,3,seedling
TREP,122,156.66,1.5,0.17,seedling
RREP,32,182.1,1.52,,seedling
RREP,42,136.42,1.53,,seedling
RREP,33,180.63,1.54,,seedling
TREP,26,10,1.56,0.13,seedling
TREP,70,60.04,1.58,12,seedling
TREP,108,127.28,1.6,0.12,seedling
TREP,161,197.86,1.6,0.18,seedling
TREP,116,158.72,1.68,0.12,seedling
RREP,12,251,1.8,,seedling
TREP,3,0.44,1.84,0.16,seedling
RREP,48,27.75,1.84,,seedling
TREP,92,89.3,1.87,0.15,seedling
TREP,25,14.06,1.94,2.3,sapling
TREP,30,20.43,2,0.11,seedling
TREP,117,158.3,2,0.15,seedling
RREP,13,250.82,2,,seedling
TREP,107,123.4,2.05,1.3,sapling
TREP,31,20.36,2.12,0.07,seedling
TREP,158,197.3,2.13,0.19,seedling
TREP,123,159.2,2.15,0.14,seedling
TREP,103,119.6,2.2,0.9,seedling
TREP,32,20.3,2.23,0.09,seedling
TREP,151,192.71,2.25,0.2,seedling
RREP,22,206.15,2.26,,seedling
TREP,129,169.9,2.33,1,sapling
TREP,159,197.43,2.38,0.12,seedling
TREP,160,197.8,2.41,0.13,seedling
TREP,130,167.77,2.43,0.11,seedling
RREP,37,160.5,2.48,,sapling
RA,2012,65.8,2.5,,adult
TREP,87,81.92,2.57,0.18,seedling
RREP,43,124.42,2.58,,seedling
RREP,18,210.56,2.62,,seedling
RREP,44,102.78,2.63,,seedling
TREP,81,66.7,2.73,0.07,seedling
RREP,35,162.18,2.76,,seedling
TREP,83,66.64,2.8,0.04,seedling
RREP,10,251.18,2.8,,seedling
TREP,82,66.66,2.82,0.08,seedling
TREP,100,109.47,2.9,2,sapling
TREP,132,161.45,2.9,2,sapling
RREP,19,210.72,2.94,,seedling
TREP,43,27.39,2.98,0.31,seedling
TREP,137,179.71,2.98,0.22,seedling
RREP,21,204.04,3,,seedling
TREP,24,12.84,3.06,0.12,seedling
RREP,41,136.84,3.25,,seedling
TREP,27,16.75,3.28,0.28,seedling
TREP,74,62.35,3.36,0.11,seedling
TREP,28,17.08,3.59,0.22,seedling
TREP,131,166.98,3.6,0.17,seedling
TREP,33,20.19,3.61,0.2,seedling
TREP,79,64.1,3.65,0.08,seedling
RREP,8,250.23,3.67,,seedling
RREP,4,295.64,3.69,,seedling
TREP,125,163.97,3.7,0.7,seedling
TREP,14,8.62,3.75,0.19,seedling
TREP,41,24.72,3.76,0.38,seedling
TREP,128,169.7,3.8,0.3,seedling
TREP,76,67,3.85,0.07,seedling
RREP,46,78.27,3.88,,seedling
TREP,133,170.57,3.9,0.3,seedling
TREP,134,172.28,3.93,0.3,seedling
TREP,72,63.92,3.96,0.04,seedling
TREP,138,181.88,4,0.17,seedling
TREP,77,64.57,4.05,0.08,seedling
TREP,61,42.2,4.12,0.6,seedling
TREP,78,64.51,4.12,0.06,seedling
TREP,109,121.3,4.2,0.2,seedling
TREP,154,195.5,4.2,0.15,seedling
TREP,163,199.54,4.2,0.2,seedling
TREP,55,33.19,4.23,0.16,seedling
TREP,40,24.71,4.25,0.07,seedling
TREP,73,63.7,4.25,0.06,seedling
TREP,17,11.68,4.41,0.07,seedling
TREP,18,10.31,4.5,0.13,seedling
TREP,4,0.13,4.6,1,seedling
TREP,39,24.68,4.7,0.13,seedling
TREP,104,114.7,4.7,0.3,seedling
TREP,157,196.73,4.81,2.5,sapling
TREP,102,118.9,4.92,0.1,seedling
TREP,23,12.34,5.05,0.065,seedling
TREP,34,21.93,5.1,1,sapling
TREP,13,6.36,5.18,0.3,seedling
TREP,105,112.75,5.18,0.8,seedling
RREP,9,255.3,5.25,,seedling
RREP,2,296.4,5.35,,seedling
TREP,12,6.39,5.37,0.29,seedling
TREP,126,162.64,5.4,0.15,seedling
TREP,136,173.67,5.42,0.11,seedling
TREP,16,9.52,5.44,0.17,seedling
RREP,40,134.75,5.44,,seedling
RREP,15,235.23,5.45,,seedling
RREP,7,267.86,5.45,,sapling
TREP,141,182.1,5.59,0.15,seedling
RREP,3,293.98,5.59,,seedling
TREP,101,118.31,5.6,0.2,seedling
TREP,142,181.8,5.6,0.9,seedling
TREP,139,182.4,5.6,0.15,seedling
TREP,140,182.1,5.61,0.12,seedling
TREP,35,21.7,5.64,0.8,seedling
TREP,60,38.6,5.7,0.15,seedling
TREP,89,84.8,5.7,0.14,seedling
RREP,5,286.99,5.85,,seedling
RREP,14,246.28,5.87,,seedling
TREP,75,66.2,5.9,0.11,seedling
TREP,64,48.76,5.94,0.57,seedling
TREP,94,99.34,5.95,1,sapling
RREP,20,206.18,6.12,,seedling
TREP,115,157.1,6.13,0.15,seedling
TREP,51,30.25,6.18,0.11,seedling
TREP,86,74.99,6.26,14,adult
TREP,148,180.2,6.27,0.3,seedling
LA,R65,45,6.3,,seedling
TREP,91,85.93,6.4,0.07,seedling
TREP,149,192.53,6.5,0.4,seedling
RREP,47,54.46,6.53,,seedling
TREP,155,196.4,6.73,0.9,seedling
TREP,7,4.6,6.74,0.2,seedling
TREP,153,195.66,6.82,0.1,seedling
RREP,39,139.9,6.89,,seedling
TREP,21,11.82,6.97,0.14,seedling
TREP,71,60.18,7.05,20,adult
RREP,34,169.91,7.12,,sapling
TREP,152,195.6,7.12,0.12,seedling
TREP,156,197.29,7.29,2.7,sapling
TREP,97,101.66,7.34,0.23,seedling
TREP,68,59.8,7.36,0.65,seedling
TREP,29,10.81,7.4,1.3,sapling
TREP,135,171.5,7.46,0.7,seedling
TREP,69,53.15,7.61,0.13,seedling
TREP,54,31.44,7.62,0.22,seedling
TREP,164,199.9,7.62,0.75,seedling
TREP,38,23.18,7.63,0.16,seedling
TREP,56,35.4,7.74,0.11,seedling
TREP,11,7.13,7.75,0.1,seedling
TREP,150,193.3,7.81,0.27,seedling
TREP,9,7.07,7.84,0.12,seedling
RREP,29,183.74,7.91,,seedling
TREP,8,7.74,7.93,0.13,seedling
TREP,67,51.6,8.08,0.15,seedling
TREP,66,51.63,8.1,0.11,seedling
RREP,26,201.12,8.24,,sapling
TREP,112,154.7,8.4,0.2,seedling
RREP,30,187.68,8.4,,seedling
TREP,52,30.15,8.44,0.29,seedling
TREP,37,24.24,8.5,0.25,seedling
TREP,62,43.9,8.57,0.12,seedling
RREP,38,143.04,8.67,,seedling
TREP,45,28.8,8.68,0.1,seedling
TREP,113,156.8,8.68,0.45,seedling
TREP,59,37.68,8.69,0.5,seedling
RREP,31,187.92,8.72,,seedling
TREP,95,98.54,8.92,6.5,sapling
RREP,25,201.34,8.94,,sapling
TREP,144,184.9,8.95,0.2,seedling
TREP,114,157.6,9,0.2,seedling
TREP,57,35.15,9.04,0.11,seedling
TREP,58,35.2,9.1,0.09,seedling
TREP,63,48.15,9.1,0.34,seedling
TREP,110,125.93,9.12,0.08,seedling
RREP,6,268.08,9.15,,sapling
TREP,36,24.5,9.21,0.11,seedling
TREP,146,186.34,9.27,0.3,seedling
TREP,147,186.31,9.31,0.2,seedling
RREP,23,209.23,9.34,,seedling
TREP,5,1.16,9.36,0.025,seedling
RREP,24,209.51,9.36,,seedling
TREP,98,101.34,9.4,0.45,seedling
TREP,10,7.94,9.46,0.12,seedling
TREP,145,186.07,9.5,0.5,seedling
TREP,46,27.8,9.52,0.15,seedling
TREP,53,30.81,9.62,0.08,seedling
TREP,20,12.07,9.65,0.12,seedling
TREP,80,66.57,9.65,12,adult
TREP,127,169.2,9.7,0.11,seedling
TREP,19,12.89,9.72,0.21,seedling
RREP,50,29.64,9.72,,seedling
RREP,49,22.91,9.75,,seedling
TREP,47,24.3,9.82,0.085,seedling
TREP,48,24,9.9,0.09,seedling
TREP,50,24.84,9.93,0.15,seedling
TREP,22,13.35,10,1,sapling
TREP,49,24.4,10,0.14,seedling
TREP,143,180.31,10,0.1,seedling
RREP,28,195.78,10,,seedling
RREP,16,224.74,10.15,,sapling
TREP,280,140,10.19,0.03,seedling
TREP,196,27,10.24,0.14,seedling
RREP,58,140.73,10.27,,seedling
RREP,17,224.64,10.3,,seedling
RREP,60,149.02,10.32,,seedling
TREP,208,29.4,10.35,0.12,seedling
TREP,227,35.08,10.55,0.15,seedling
TREP,209,31.13,10.6,0.45,seedling
RREP,68,172.52,10.65,,seedling
TREP,230,37.6,10.71,0.09,seedling
TREP,195,25.4,10.79,0.1,seedling
TREP,301,173.03,10.79,12,adult
TREP,187,20.15,10.8,0.07,seedling
TREP,180,13.96,10.81,0.11,seedling
TREP,290,170.37,10.81,0.3,seedling
TREP,307,178.02,10.85,0.18,seedling
RREP,56,133.96,10.87,,seedling
TREP,176,12.77,11.05,0.13,seedling
TREP,177,13.3,11.07,23,adult
TRC,P31,98.2,11.15,,seedling
TREP,275,133.45,11.39,17,adult
TREP,276,137.15,11.41,1,sapling
RA,1058,61.4,11.5,,adult
TREP,302,173.67,11.5,1.4,sapling
RREP,66,170,11.65,,seedling
RREP,86,259.25,11.71,,seedling
TREP,279,139.35,11.79,0.11,seedling
TREP,169,4.9,11.85,0.35,seedling
TREP,178,13.3,11.88,0.11,seedling
TREP,257,58.05,11.89,0.07,seedling
TREP,175,10.72,11.9,0.09,seedling
RA,RF173,26.2,11.9,,adult
TREP,278,138.05,11.93,0.19,seedling
TREP,165,0.08,11.95,0.08,seedling
TREP,226,33.18,11.96,0.5,seedling
TREP,194,22.43,11.97,0.12,seedling
TREP,256,57.8,11.97,0.07,seedling
TREP,277,138.29,11.99,0.12,seedling
TREP,285,160.1,12.02,0.2,seedling
RREP,57,136.37,12.23,,seedling
TREP,306,176.03,12.26,0.15,seedling
TREP,300,171.45,12.3,0.11,seedling
RREP,67,168.6,12.33,,seedling
TREP,259,77.6,12.4,0.5,seedling
TREP,244,48.96,12.44,0.12,seedling
TREP,266,113.97,12.46,0.12,seedling
TREP,179,13.08,12.55,0.18,seedling
TREP,258,58.5,12.57,0.16,seedling
TREP,299,172.66,12.58,0.08,seedling
RREP,51,46.72,12.65,,seedling
TREP,170,4.68,12.8,0.6,seedling
TREP,174,11.19,12.8,0.11,seedling
TREP,252,56.78,12.95,0.13,seedling
TREP,268,125.16,12.96,0.3,seedling
LA,3173,110,13,,adult
RREP,82,259.61,13.04,,seedling
RREP,54,88.21,13.16,,sapling
TREP,273,130.9,13.18,0.6,seedling
TREP,231,40.69,13.28,0.38,seedling
TREP,253,58.41,13.28,0.19,seedling
TREP,298,173.04,13.39,0.15,seedling
TREP,173,11.11,13.4,0.13,seedling
TREP,269,128.59,13.54,0.13,seedling
TREP,171,4.9,13.6,0.18,seedling
TREP,282,147.19,13.68,0.11,seedling
RREP,83,257.31,13.68,,seedling
TREP,303,175.03,13.73,0.14,seedling
TREP,242,42.46,13.8,0.63,seedling
TREP,305,176.08,13.82,4.4,sapling
RREP,59,143.33,13.87,,seedling
TREP,166,0.01,13.95,0.25,seedling
TREP,308,180.53,13.97,0.5,seedling
TRC,P12,33,14.1,,seedling
TREP,260,77.05,14.2,1.85,sapling
RREP,72,212.87,14.46,,seedling
TREP,312,189.85,14.5,4.75,sapling
TREP,225,34.04,14.52,0.4,seedling
TREP,193,22.4,14.55,0.09,seedling
TREP,224,33.92,14.56,0.5,seedling
TRC,P39,34.1,14.7,,seedling
TREP,313,191.34,14.71,0.14,seedling
TREP,207,28.84,14.82,0.115,seedling
TREP,228,38.6,14.87,0.16,seedling
RREP,85,250.62,14.9,,seedling
TREP,297,172.77,14.97,0.13,seedling
RREP,79,239.1,15,,adult
TREP,261,86.17,15.07,0.6,seedling
TREP,204,27.95,15.13,0.095,seedling
RREP,78,233.68,15.14,,seedling
RREP,70,199.28,15.15,,sapling
TREP,229,37.7,15.17,0.14,seedling
RREP,71,191.86,15.25,,seedling
TREP,192,22.46,15.41,0.1,seedling
TREP,262,90.65,15.5,2.7,sapling
TREP,296,172.96,15.5,0.14,seedling
TREP,203,27.74,15.53,0.055,seedling
TREP,191,22.13,15.58,0.08,seedling
TREP,295,172.44,15.63,0.12,seedling
TREP,272,130.77,15.64,0.15,seedling
TREP,205,26.89,15.68,0.06,seedling
RREP,81,245.15,15.68,,seedling
TREP,206,28.96,15.7,0.09,seedling
TREP,281,143.6,15.8,0.06,seedling
TREP,271,130.8,15.82,22,adult
TREP,223,33.77,15.84,0.06,seedling
RREP,84,255.94,15.84,,seedling
TREP,291,170.61,15.9,1,sapling
TREP,232,40.4,15.97,0.23,seedling
TREP,265,97,16.21,0.11,seedling
TREP,274,131.4,16.3,17,adult
TREP,202,27.78,16.31,0.45,seedling
TREP,201,28.25,16.31,0.09,seedling
RA,1062,67,16.45,,adult
RREP,89,278.02,16.45,,adult
TREP,200,28.45,16.47,0.1,seedling
TREP,294,172.41,16.48,0.13,seedling
RA,1062,67,16.5,,adult
TREP,197,25.3,16.54,25,adult
TREP,233,40.75,16.55,0.07,seedling
TREP,234,40.76,16.6,0.12,seedling
TREP,199,29.15,16.63,0.03,seedling
TREP,235,40.77,16.65,0.13,seedling
TREP,287,165.35,16.65,0.15,seedling
TREP,237,40.81,16.66,0.13,seedling
TREP,236,40.85,16.7,0.6,seedling
TREP,264,94.5,16.7,0.15,seedling
TREP,210,30.1,16.72,0.2,seedling
TREP,283,150.42,16.78,0.14,seedling
RREP,52,47.4,16.82,,seedling
RREP,61,156.37,16.94,,seedling
TREP,198,29.5,16.97,4.5,seedling
TREP,288,164.54,16.98,1,sapling
TREP,309,180.83,17.02,0.25,seedling
TREP,284,153.15,17.12,0.11,seedling
TREP,238,40.1,17.14,0.12,seedling
TREP,270,128.82,17.17,0.15,seedling
LA,3117,73,17.2,,adult
TREP,167,0.26,17.21,0.3,seedling
TREP,218,33.06,17.21,0.12,seedling
TREP,219,32.99,17.24,0.1,seedling
TREP,222,31.82,17.34,0.13,seedling
TREP,239,40.06,17.36,0.15,seedling
TREP,221,31.43,17.42,0.07,seedling
TREP,217,33.21,17.46,0.07,seedling
TREP,220,32.03,17.47,0.07,seedling
TREP,216,33.72,17.47,0.06,seedling
TREP,215,33.74,17.47,0.09,seedling
TREP,213,33.84,17.56,0.07,seedling
TREP,212,33.67,17.57,0.12,seedling
TREP,255,59.36,17.6,0.15,seedling
TREP,214,33.73,17.65,0.1,seedling
TREP,241,41.58,17.68,0.74,seedling
TREP,258,73.08,17.7,1.2,sapling
TREP,263,91.26,17.8,2,sapling
TREP,183,15.71,17.82,0.09,seedling
TREP,184,16.86,17.87,1.8,sapling
RREP,69,193.12,17.87,,seedling
TREP,181,15.2,18.03,0.11,seedling
TREP,182,15.59,18.04,0.07,seedling
TREP,240,40.46,18.05,0.25,seedling
RREP,65,167.15,18.12,,seedling
TREP,293,172.39,18.15,11,adult
TREP,186,16.82,18.2,0.1,seedling
RREP,80,230.08,18.22,,seedling
RREP,75,225.59,18.23,,adult
TREP,267,116.49,18.24,0.21,seedling
RREP,64,166.8,18.26,,seedling
RREP,77,233.18,18.27,,seedling
TREP,190,21.93,18.3,0.08,seedling
TREP,211,33.83,18.33,0.15,seedling
TREP,168,3.4,18.41,0.18,seedling
TREP,250,54.97,18.45,0.1,seedling
TREP,243,44.52,18.57,0.25,seedling
TREP,310,181.25,18.6,2.4,sapling
RREP,63,166.43,18.68,,seedling
TREP,254,57.5,18.7,0.12,seedling
TREP,286,160.28,18.7,0.9,seedling
TREP,185,17.3,18.8,0.11,seedling
TREP,251,58.56,18.87,0.06,seedling
TREP,246,54.46,18.88,0.08,seedling
RREP,55,124.45,18.9,,seedling
TREP,304,175.86,18.9,0.11,seedling
TREP,292,170.99,18.92,0.1,seedling
TREP,245,49.19,18.93,0.11,seedling
TREP,249,55.08,18.93,0.1,seedling
TREP,172,6.68,18.95,0.7,seedling
TREP,189,20.48,19.05,0.15,seedling
TREP,311,184.85,19.06,0.6,seedling
TREP,248,54.94,19.18,0.1,seedling
TREP,188,20.54,19.26,0.2,seedling
RREP,87,263.09,19.29,,seedling
RREP,53,66.23,19.35,,seedling
RREP,62,165.48,19.45,,seedling
RREP,88,269.68,19.76,,adult
RREP,73,218.86,19.77,,seedling
TREP,247,54.85,19.78,0.12,seedling
RREP,74,219.93,19.96,,seedling
RA,1063,63.1,20,,adult
TREP,473,142.5,20,0.1,seedling
TREP,474,143.3,20,0.09,seedling
TREP,289,161.09,20,0.13,seedling
TREP,1E,172,20,0.07,seedling
RREP,76,231.63,20,,seedling
RREP,136,288.44,20,,seedling
TREP,345,21.72,20.07,0.1,seedling
TREP,414,54.18,20.11,0.1,seedling
TREP,418,57.17,20.14,0.08,seedling
RREP,101,158.93,20.18,,seedling
TREP,340,28.66,20.21,18,adult
TREP,466,135.81,20.23,0.12,seedling
TREP,467,136.14,20.23,0.11,seedling
TREP,2E,172.15,20.25,0.1,seedling
RREP,133,276.1,20.25,,seedling
TREP,344,21.5,20.27,0.16,seedling
TREP,380,38.66,20.29,0.13,seedling
TREP,379,38.85,20.35,0.11,seedling
TREP,381,39.35,20.38,0.1,seedling
TREP,378,39.92,20.42,0.16,seedling
TREP,413,53.81,20.42,0.5,seedling
RREP,100,151.55,20.43,,seedling
TREP,417,56.84,20.6,0.17,seedling
TREP,468,136.4,20.6,0.13,seedling
TREP,504,185.32,20.6,11,adult
RREP,119,235.8,20.66,,seedling
TREP,346,30.99,20.7,0.1,seedling
TREP,359,33.52,20.7,0.09,seedling
TREP,341,28.56,20.71,0.07,seedling
TREP,358,36.51,20.71,0.4,seedling
RREP,118,235.1,20.72,,seedling
TREP,506,200.9,20.8,4.6,sapling
TREP,412,53.35,20.86,0.1,seedling
RREP,135,289.7,20.87,,seedling
TREP,326,16.71,20.9,0.14,seedling
RREP,97,123.76,20.9,,seedling
TREP,465,134.72,20.97,0.09,seedling
TREP,325,15.54,21,0.14,seedling
TREP,386,40.46,21.06,0.12,seedling
TREP,442,112.2,21.1,0.19,seedling
TREP,387,40.49,21.16,0.11,seedling
TREP,454,130.5,21.2,0.11,seedling
TREP,415,56.21,21.22,0.1,seedling
TREP,416,57.93,21.24,0.12,seedling
TREP,487,173.73,21.27,0.09,seedling
TREP,385,40.49,21.33,0.11,seedling
TREP,342,26.5,21.4,0.9,seedling
TREP,452,127.68,21.4,9,sapling
TREP,429,75.52,21.43,15,adult
TREP,382,37.95,21.44,0.11,seedling
TREP,402,48.29,21.6,0.65,seedling
TREP,401,47.3,21.61,0.08,seedling
TREP,476,144.49,21.63,0.11,seedling
RREP,103,169.86,21.69,,seedling
TREP,410,51.79,21.77,0.1,seedling
RREP,102,170,21.77,,seedling
TREP,481,148.72,21.79,0.2,seedling
TREP,383,40.28,21.88,0.15,seedling
TREP,494,180,21.89,0.16,seedling
RREP,105,166.73,21.98,,seedling
TREP,324,15.63,22,0.08,seedling
RREP,132,275.43,22.06,,seedling
TREP,347,31.36,22.08,0.25,seedling
TREP,455,131.04,22.17,0.05,seedling
TREP,384,40.26,22.21,0.2,seedling
RREP,104,166.79,22.26,,seedling
TREP,343,26.75,22.3,0.12,seedling
TREP,393,42.41,22.34,0.07,seedling
RREP,124,252.86,22.45,,seedling
TREP,391,41.7,22.55,0.1,seedling
TREP,457,131.99,22.59,0.08,seedling
TREP,408,50.64,22.67,0.07,seedling
TREP,456,130.84,22.69,0.1,seedling
LA,2705,129.3,22.7,,adult
TREP,498,178.4,22.7,10,adult
TREP,484,157.5,22.8,0.4,seedling
TREP,490,178.29,22.8,0.1,seedling
TREP,435,91.82,22.9,0.16,seedling
TREP,392,41.87,22.95,0.12,seedling
TREP,464,135.8,22.95,0.13,seedling
TREP,327,18.08,22.97,0.07,seedling
TREP,407,49.32,22.97,0.06,seedling
RREP,129,273.25,23.02,,seedling
TREP,360,36.76,23.08,7,sapling
TREP,361,37.21,23.09,0.12,seedling
TREP,390,41.31,23.22,0.11,seedling
TREP,332,10.19,23.28,2,sapling
TREP,362,37.1,23.29,0.06,seedling
LA,59,150.44,23.3,,seedling
TREP,363,37.11,23.31,0.07,seedling
RREP,122,248.4,23.32,,seedling
TREP,389,40.69,23.33,0.08,seedling
TREP,453,133.16,23.38,0.5,seedling
TREP,364,37.23,23.39,0.3,seedling
TREP,406,48.06,23.39,0.12,seedling
TREP,475,142.59,23.39,0.1,seedling
TREP,403,47.16,23.4,0.14,seedling
TREP,388,40.65,23.41,0.15,seedling
TREP,400,44.8,23.43,0.14,seedling
TREP,486,174,23.45,0.11,seedling
TREP,479,145.56,23.66,0.06,seedling
TREP,314,7.84,23.7,0.12,seedling
TREP,463,136.46,23.7,0.07,seedling
TREP,499,180.35,23.7,0.3,seedling
TREP,365,36.58,23.72,0.1,seedling
TREP,434,90.31,23.8,5,sapling
RREP,131,279.01,23.81,,seedling
TREP,366,36.33,23.82,0.1,seedling
TREP,338,26.47,23.84,0.15,seedling
TREP,367,36.84,23.84,0.3,seedling
TREP,339,26.48,23.87,0.1,seedling
TREP,368,36.75,23.88,0.08,seedling
LA,57,147.26,23.89,,sapling
TREP,491,176.69,23.92,0.17,seedling
TREP,337,26.59,23.96,0.12,seedling
TREP,315,7.21,23.98,0.08,seedling
RREP,134,290,24,,seedling
TREP,404,47.08,24.01,20,adult
TREP,458,133.42,24.17,0.09,seedling
TREP,409,51.19,24.2,0.11,seedling
TREP,500,181,24.2,0.07,seedling
TREP,323,15.59,24.26,0.09,seedling
TREP,459,133.49,24.26,0.04,seedling
RREP,123,249.08,24.27,,seedling
TREP,488,176.88,24.36,0.1,seedling
TREP,419,55.05,24.43,17,adult
TREP,357,32.75,24.44,1.7,sapling
LA,3147,77.3,24.5,,adult
LA,2770,167.8,24.5,,adult
TREP,328,17.42,24.51,0.3,seedling
TREP,394,40.65,24.51,3,sapling
TREP,495,180,24.56,0.16,seedling
RREP,92,53.6,24.65,,seedling
TREP,489,176.66,24.65,0.11,seedling
TREP,472,139.14,24.71,0.03,seedling
RREP,109,190.88,24.74,,seedling
TREP,331,10.46,24.79,0.1,seedling
TREP,471,139.08,24.82,0.1,seedling
TREP,411,52.2,24.84,0.1,seedling
