site,SAMPLEID,X,Y,HEIGHT,stage
TREP,322,13.83,24.88,0.09,seedling
TREP,336,25.7,24.9,0.08,seedling
TREP,320,13.66,24.95,0.13,seedling
TREP,329,18.16,24.95,1.5,sapling
RREP,130,276.96,24.96,,seedling
TREP,423,72.51,24.97,0.45,seedling
TREP,321,13.82,24.98,0.08,seedling
TREP,395,41.45,24.98,0.08,seedling
RREP,107,170.6,25.03,,seedling
RREP,120,244.66,25.04,,adult
RREP,127,255.35,25.11,,seedling
TREP,335,26.64,25.15,0.13,seedling
LA,58,151.39,25.17,,seedling
RA,R50,78.8,25.2,0.16,seedling
RA,R43,79,25.2,0.15,seedling
RA,R31,74,25.3,0.18,seedling
RA,R17,75.8,25.3,0.13,seedling
TREP,485,161.59,25.38,11,adult
LA,60,143.57,25.39,,seedling
RA,R52,75,25.4,0.2,seedling
RA,R48,77.5,25.4,0.27,seedling
RA,R67,84.7,25.4,0.17,seedling
RREP,95,110,25.48,,seedling
TREP,356,32.3,25.52,0.12,seedling
RREP,99,142.12,25.63,,seedling
RA,R81,92,25.67,0.14,seedling
TREP,433,81.15,25.7,1.2,sapling
TREP,399,40.08,25.73,0.06,seedling
TREP,480,148.03,25.74,0.13,seedling
TREP,375,39.02,25.76,0.08,seedling
TREP,428,75.8,25.76,0.3,seedling
LA,70,97.61,25.79,,seedling
TREP,462,136.6,25.8,22,adult
TREP,355,32.44,25.83,0.05,seedling
TREP,330,19,25.9,0.15,seedling
LA,66,116.42,25.97,,seedling
RA,R44,74.3,26,0.19,seedling
TREP,333,15,26.03,0.1,seedling
RREP,91,30.35,26.03,,seedling
TREP,4E,185.03,26.06,0.09,seedling
TREP,449,121.14,26.13,0.12,seedling
TREP,493,179.83,26.2,0.21,seedling
RREP,126,253.38,26.21,,seedling
TREP,492,179.16,26.23,0.15,seedling
TREP,405,47.78,26.28,0.11,seedling
TREP,398,41.96,26.32,0.09,seedling
TREP,445,113.96,26.38,0.17,seedling
TREP,444,113.3,26.45,0.15,seedling
RA,R7,81.7,26.5,0.19,seedling
TREP,443,112.45,26.6,0.15,seedling
TREP,369,36.34,26.65,0.14,seedling
RREP,125,253.5,26.68,,seedling
RA,R70,73.7,26.7,0.17,seedling
RREP,106,170.95,26.8,,seedling
RREP,115,224.7,26.85,,seedling
RREP,90,33.61,26.9,,sapling
TREP,446,116.24,26.9,2.5,sapling
TREP,316,10.5,26.91,0.1,seedling
TREP,373,39.39,26.91,0.12,seedling
TREP,374,39.54,26.91,0.07,seedling
TREP,370,36.61,26.92,0.2,seedling
TREP,334,28.72,26.95,0.09,seedling
TREP,502,180.69,26.98,0.25,seedling
RA,R49,73.3,27,0.26,seedling
RA,R5,84.5,27,0.13,seedling
RA,624,137.3,27,,adult
RA,1774,1.06,27.1,,adult
RA,1774,1.1,27.1,,adult
TREP,482,152.2,27.1,11,adult
TREP,3E,184.91,27.1,0.15,seedling
LA,62a,138.97,27.12,,seedling
TREP,503,180.99,27.19,1.05,sapling
TREP,318,15.58,27.21,0.1,seedling
TREP,424,72.21,27.23,0.4,seedling
LA,64,111.88,27.24,,seedling
TREP,431,88.4,27.28,0.21,seedling
TRC,754,155.7,27.3,,adult
TREP,319,14.33,27.4,0.8,seedling
TREP,317,14.12,27.45,0.2,seedling
RREP,96,115.82,27.58,,seedling
LA,62,137.81,27.58,,sapling
LA,63,137.81,27.58,,sapling
TREP,448,120.61,27.6,0.11,seedling
TREP,396,40.17,27.61,0.08,seedling
RREP,98,134.1,27.62,,seedling
TREP,496,179.86,27.64,3,sapling
RA,R68,74.8,27.7,0.16,seedling
TREP,432,82.65,27.77,0.07,seedling
RREP,128,253.78,27.82,,seedling
RREP,110,192.52,27.85,,seedling
TREP,436,94.3,27.9,15,adult
TREP,469,138.7,27.9,0.08,seedling
TREP,470,139.15,27.9,0.14,seedling
RREP,116,234.46,27.9,,seedling
TREP,371,36.79,27.99,0.15,seedling
RA,R88,87,28,0.13,seedling
RA,R32,112.7,28,0.16,seedling
RA,O56,160,28,0.2,seedling
RREP,111,200.26,28.03,,seedling
TREP,461,132.75,28.1,0.15,seedling
TREP,350,30.79,28.13,0.1,seedling
TREP,348,31.7,28.13,1,sapling
RREP,121,248.27,28.2,,seedling
LA,19R,116.98,28.21,,sapling
TREP,349,30.65,28.27,0.08,seedling
LA,23R,92.5,28.28,,seedling
RREP,93,63.9,28.3,,seedling
RA,R74,75.7,28.3,0.16,seedling
RA,R86,79.1,28.3,0.2,seedling
TREP,501,180.71,28.32,0.1,seedling
TREP,477,142.39,28.38,0.07,seedling
RREP,117,234.98,28.38,,seedling
TREP,460,132.87,28.4,0.14,seedling
RREP,112,200.24,28.42,,seedling
LA,3659,14.2,28.5,,adult
RA,R12,65,28.5,0.14,seedling
RA,O89,159.7,28.5,0.2,seedling
TREP,397,40.07,28.58,0.09,seedling
LA,76,55.83,28.61,,sapling
TRC,136,93.34,28.66,,seedling
RA,R19,74,28.7,0.13,seedling
TREP,438,98.97,28.7,0.13,seedling
TREP,439,107.29,28.79,0.07,seedling
TREP,430,89.53,28.8,1.04,sapling
TREP,422,66.5,28.85,0.15,seedling
TREP,421,66.66,28.85,0.15,seedling
RREP,114,220.47,28.9,,adult
TREP,377,34.32,28.96,0.08,seedling
RREP,108,177.75,28.97,,seedling
TREP,354,31.9,28.98,0.6,seedling
TREP,440,107.18,28.99,0.07,seedling
TREP,372,36.8,29,0.1,seedling
RA,O11,153.6,29,0.6,seedling
RA,R61,75.5,29.1,0.19,seedling
TREP,420,60.48,29.15,0.11,seedling
TREP,483,152.6,29.19,0.11,seedling
RREP,113,201.48,29.28,,seedling
RA,F120,32.6,29.3,0.35,seedling
LA,71,96.98,29.4,,seedling
TREP,351,30.53,29.44,0.18,seedling
TREP,437,97.51,29.48,0.1,seedling
TREP,353,30.59,29.5,0.15,seedling
LA,20R,117.82,29.51,,seedling
TREP,352,30.56,29.52,0.09,seedling
TREP,376,34.45,29.53,2,sapling
TREP,427,76.49,29.54,0.3,seedling
TREP,441,108.8,29.6,0.12,seedling
TREP,450,121.74,29.6,0.5,seedling
TREP,451,122.02,29.63,0.06,seedling
RREP,179,154,29.96,,seedling
RREP,94,67.55,30,,seedling
TREP,426,70.5,30,0.3,seedling
TREP,425,76.3,30,0.2,seedling
RREP,160,77.73,30,,adult
TREP,447,111.1,30,0.58,seedling
RREP,168,118.57,30,,seedling
TREP,505,197,30,0.11,seedling
RREP,199,282,30,,seedling
TREP,514,150.56,30.16,0.06,seedling
TREP,565,20.95,30.2,0.08,seedling
LA,67,113.46,30.3,,seedling
TREP,547,40.16,30.39,0.3,seedling
RREP,202,296.87,30.4,,sapling
LA,18R,124.49,30.43,,sapling
TREP,550,44.21,30.46,0.1,seedling
TREP,551,44.91,30.46,0.08,seedling
TREP,561,31.1,30.5,0.11,seedling
TREP,529,100.5,30.5,0.08,seedling
RREP,145,30.56,30.62,,seedling
TREP,530,104.95,30.66,6,sapling
TREP,570,20,30.74,0.15,seedling
RREP,171,129.28,30.74,,seedling
RREP,156,52.54,30.75,,sapling
RREP,185,179.83,30.76,,seedling
TREP,549,44.04,30.8,0.07,seedling
TRC,155,40.56,30.83,,seedling
LA,12R,162.38,30.96,,seedling
LA,79,57.59,30.99,,sapling
RA,R38,71,31,0.13,seedling
TREP,533,91.1,31,0.1,seedling
RA,R64,107.5,31,0.13,seedling
RA,O32,154.5,31,0.16,seedling
TREP,8E,33.07,31.02,0.12,seedling
TREP,524,115.7,31.14,0.65,seedling
TREP,546,58.12,31.16,0.1,seedling
TREP,548,43.44,31.2,0.07,seedling
RREP,191,223.78,31.24,,adult
RREP,144,29.62,31.3,,seedling
RREP,196,240.43,31.3,,seedling
TREP,510,166.06,31.4,1,sapling
TREP,507,185.36,31.4,0.2,seedling
TREP,564,21.23,31.5,0.09,seedling
LA,65,106.58,31.53,,seedling
TREP,563,21.3,31.6,0.08,seedling
TREP,562,21.4,31.65,0.14,seedling
RREP,159,59.52,31.66,,sapling
TREP,513,153.57,31.75,18,adult
LA,13R,163.05,31.78,,seedling
TREP,525,116.28,31.85,0.6,seedling
TREP,534,96.23,31.9,0.1,seedling
TREP,6E,107.02,31.96,0.09,seedling
RA,W125,50,32,0.4,seedling
LA,72,95.07,32,,seedling
RA,O92,161,32,0.23,seedling
TRC,T15A,163.8,32,,sapling
RREP,143,28.6,32.06,,seedling
TRC,156,39.24,32.07,,seedling
TREP,569,19.37,32.1,0.8,seedling
TREP,545,62.75,32.19,1.3,sapling
TREP,536,89.5,32.22,0.08,seedling
TREP,567,17.3,32.24,0.2,seedling
TREP,568,18.65,32.24,1.05,sapling
RREP,176,144.83,32.24,,seedling
LA,68,119.29,32.25,,sapling
RA,R21,92.3,32.3,0.08,seedling
LA,21R,117.62,32.34,,sapling
TRC,125,165.04,32.34,,sapling
LA,82,45.01,32.38,,sapling
TRC,2209,38.7,32.5,,adult
RREP,164,119.21,32.54,,seedling
RA,O9,142.5,32.6,0.14,seedling
RREP,198,260.42,32.67,,seedling
TRC,126,165.77,32.75,,seedling
RA,R13,92.4,32.8,0.09,seedling
TREP,535,97.18,32.8,0.11,seedling
RA,W122,45,33,0.5,seedling
RA,R79,84,33,0.14,seedling
RA,R23,92,33,0.06,seedling
TRC,P68,94.9,33,,seedling
LA,81,38.59,33.01,,sapling
LA,73,97.42,33.02,,seedling
LA,61,140.46,33.19,,seedling
TREP,531,99.67,33.21,5.4,sapling
TREP,544,62.95,33.25,3,sapling
TREP,517,140.35,33.4,1,sapling
RREP,188,205.39,33.53,,seedling
TREP,526,114.3,33.65,10,sapling
RREP,181,176.98,33.65,,seedling
RREP,147,34.12,33.66,,seedling
TRC,143,74.02,33.76,,seedling
TRC,142,71.49,33.78,,seedling
RREP,146,35.74,33.83,,seedling
RA,R35,85,34,0.16,seedling
RA,O60,101,34,0.13,seedling
RA,2250,8.06,34.1,,adult
RA,T2,8.06,34.1,,adult
TREP,552,41.12,34.11,1.1,sapling
RREP,167,112.38,34.18,,seedling
RREP,195,240.5,34.2,,seedling
RREP,187,191.65,34.37,,seedling
RA,R34,74,34.4,0.2,seedling
TREP,532,93.92,34.4,1,sapling
RREP,178,154.74,34.42,,seedling
RREP,200,296.72,34.43,,adult
RREP,161,82.38,34.46,,sapling
TREP,516,141.77,34.5,13,adult
RREP,175,146.86,34.6,,seedling
TREP,508,183.7,34.6,2,sapling
RREP,180,175.59,34.82,,seedling
RREP,170,123.52,34.87,,seedling
RA,R92,74.4,35,0.1,seedling
RREP,138,22.76,35.05,,seedling
RREP,139,24.5,35.13,,sapling
RA,R42,56.1,35.2,0.12,seedling
RREP,177,147.3,35.26,,seedling
RREP,153,36.56,35.27,,seedling
RREP,148,32.66,35.28,,seedling
TREP,523,128.7,35.32,0.29,seedling
RREP,137,23.4,35.36,,seedling
RREP,169,123.32,35.46,,seedling
RREP,166,111.85,35.53,,sapling
TREP,528,111.67,35.55,0.7,seedling
TRC,131,114.18,35.6,,sapling
RREP,157,59.03,35.7,,seedling
LA,80,40.42,35.75,,seedling
TRC,127,140.46,35.75,,seedling
RREP,142,26.41,35.94,,seedling
RREP,141,26.43,35.95,,seedling
TRC,129,135.57,35.95,,seedling
TREP,527,113.95,36,0.06,seedling
RREP,140,26.53,36.05,,seedling
TREP,515,143.15,36.16,18,adult
RREP,193,225.48,36.18,,seedling
TREP,522,129.5,36.19,0.1,seedling
RREP,158,59.8,36.37,,seedling
RA,W121,27,36.4,0.23,seedling
TREP,543,62.9,36.5,5,sapling
RA,R6,87,36.5,0.15,seedling
RREP,150,31.74,36.52,,seedling
RREP,149,31.7,36.53,,seedling
RREP,183,177.77,36.63,,seedling
LA,77,59.21,36.67,,sapling
LA,11R,166.88,36.85,,seedling
RREP,190,218.57,36.85,,seedling
RREP,184,179.04,36.96,,seedling
RA,O72,166,37,0.06,seedling
RREP,201,298.77,37.08,,seedling
TREP,7E,40,37.09,0.6,seedling
TREP,518,138.8,37.12,0.1,seedling
RREP,163,118.58,37.13,,seedling
TRC,138,77.53,37.26,,seedling
TRC,128,137,37.32,,seedling
LA,17R,134.31,37.33,,seedling
RREP,151,32.46,37.35,,seedling
RREP,189,217.37,37.4,,seedling
TREP,537,71,37.5,15,adult
RA,O27,153,37.5,0.19,seedling
RREP,155,30.48,37.53,,seedling
TREP,566,22.4,37.54,0.06,seedling
RREP,174,146.99,37.55,,sapling
TREP,542,62.55,37.6,5,sapling
TREP,538,70.8,37.62,0.32,seedling
TREP,560,31.82,37.64,0.1,seedling
TREP,5E,101.98,37.68,0.7,seedling
RA,O82,124,38,0.16,seedling
TREP,509,183.72,38,2,sapling
TREP,555,45.2,38.1,0.11,seedling
TREP,556,46.54,38.12,0.13,seedling
TREP,539,72.35,38.15,0.3,seedling
TREP,553,44.62,38.16,0.09,seedling
RREP,152,38.24,38.2,,seedling
TRC,141,81.53,38.22,,seedling
TREP,541,61.05,38.35,4,sapling
RREP,192,229.8,38.42,,seedling
TREP,512,168.33,38.45,0.3,seedling
RREP,197,248.13,38.47,,seedling
TREP,554,44.9,38.5,0.12,seedling
RREP,154,30.36,38.53,,seedling
RREP,162,88.57,38.58,,seedling
RREP,194,233.1,38.68,,sapling
RREP,186,190.18,38.72,,seedling
TREP,558,39.5,39,15,adult
TRC,134,103.96,39.02,,seedling
TREP,511,169,39.24,1.8,sapling
TREP,540,79.7,39.26,1.1,sapling
RREP,165,112.28,39.28,,seedling
RA,O98,126.5,39.3,0.23,seedling
RREP,172,135.46,39.32,,seedling
TRC,157,35.37,39.34,,seedling
RREP,173,146.28,39.45,,seedling
RREP,182,174.64,39.57,,seedling
TRC,118,152.26,39.88,,seedling
TREP,520,130.14,39.9,0.4,seedling
TREP,579,26.47,40,0.5,seedling
TREP,580,28,40,12.5,adult
TREP,559,35,40,0.12,seedling
TREP,557,40.3,40,15,adult
TREP,521,122.02,40,0.2,seedling
TREP,519,135.34,40,12,adult
RREP,234,180,40,,seedling
RREP,245,216.42,40,,seedling
RREP,240,193,40.1,,seedling
TREP,582,27.19,40.2,0.09,seedling
TRC,P7,132.6,40.2,,seedling
RREP,206,18.98,40.23,,seedling
RREP,232,160.66,40.29,,seedling
TREP,583,27.16,40.3,0.23,seedling
TREP,618,132.96,40.3,0.08,seedling
TREP,616,110.84,40.34,0.1,seedling
TREP,596,36.5,40.35,0.3,seedling
TRC,P53,132.54,40.35,,seedling
RREP,221,112.72,40.37,,seedling
TREP,620,140,40.37,0.12,seedling
RREP,223,127.64,40.47,,seedling
TREP,610,102.62,40.49,16,adult
TREP,584,25.8,40.5,0.1,seedling
TREP,598,37.55,40.5,0.11,seedling
RA,R47,100.1,40.5,0.22,seedling
TREP,611,102.58,40.51,0.1,seedling
TREP,577,16.46,40.58,0.18,seedling
TREP,581,27.1,40.6,0.08,seedling
TREP,597,36.18,40.6,0.4,seedling
LA,24R,57.5,40.6,,sapling
TREP,578,16.95,40.62,0.21,seedling
RREP,237,188.97,40.62,,seedling
RREP,265,291.19,40.63,,seedling
TREP,627,151.96,40.7,0.1,seedling
RREP,213,31.25,40.9,,seedling
RREP,217,58.89,41,,seedling
LA,2209,133.2,41,,adult
TRC,139,79.3,41.09,,seedling
TREP,604,53,41.1,5.5,sapling
TRC,140,79.3,41.1,,seedling
TREP,624,142.3,41.1,0.07,seedling
TREP,628,153.09,41.15,0.08,seedling
RREP,252,251.36,41.23,,seedling
RA,R59,73.9,41.3,0.15,seedling
TREP,576,15.57,41.34,0.1,seedling
TREP,622,140.66,41.36,0.17,seedling
TRC,124,165.93,41.36,,seedling
TREP,623,140.2,41.4,0.15,seedling
RREP,256,262.51,41.4,,sapling
TRC,119,154.84,41.41,,seedling
TRC,123,165.92,41.46,,seedling
RA,R40,100.1,41.5,0.13,seedling
TREP,595,35.37,41.55,0.13,seedling
RREP,258,261.02,41.77,,seedling
TREP,619,132.59,41.97,0.11,seedling
TREP,585,25.8,42,15,adult
LREP,179,77.2,42,0.12,seedling
RREP,224,127.85,42.06,,seedling
RA,R26,74,42.1,0.28,seedling
TREP,603,46.56,42.2,0.5,seedling
RREP,216,56.64,42.36,,sapling
LA,25R,29.7,42.38,,seedling
TRC,130,123.98,42.42,,sapling
RREP,230,141.6,42.47,,seedling
RREP,226,133.66,42.52,,seedling
TREP,575,15.8,42.62,0.09,seedling
RREP,236,185.75,42.62,,seedling
RREP,244,192.79,42.69,,seedling
RREP,220a,75.39,42.82,,seedling
TREP,626,148.45,42.85,0.06,seedling
RREP,214,44.59,42.88,,seedling
TREP,602,40.35,42.97,1.8,sapling
RA,R36,73.1,43,0.07,seedling
RA,O58,110,43,0.16,seedling
RA,R66,110,43,0.15,seedling
RREP,235,180.28,43.18,,seedling
TREP,574,1.05,43.2,15,adult
TREP,605,55.12,43.29,3.5,sapling
RA,O42,126,43.3,1.38,sapling
RREP,251,252.15,43.3,,seedling
RREP,266,295.37,43.38,,seedling
LA,10R,178.17,43.44,,seedling
RREP,253,258.72,43.57,,seedling
RREP,264,290.3,43.58,,sapling
TRC,122,173.8,43.9,,seedling
TREP,609,70.62,43.99,12,adult
RA,R83,72.1,44,0.16,seedling
RA,R87,94,44,0.19,seedling
RA,O26,110,44,0.07,seedling
RA,O55,119,44,0.2,seedling
RA,O23,157.5,44,0.19,seedling
RREP,238,188.34,44,,seedling
RREP,248,249.56,44.07,,seedling
RREP,204,10.28,44.36,,seedling
TREP,608,70.61,44.4,6,sapling
RA,O81,143.2,44.4,0.1,seedling
RREP,203,12.84,44.45,,seedling
RA,R73,56.3,45,0.19,seedling
RA,R41,56.4,45,0.11,seedling
RA,R16,66.3,45,0.16,seedling
LA,78,53.39,45.03,,adult
TRC,121,176.25,45.03,,seedling
LA,14R,144.25,45.16,,seedling
RREP,262,282.74,45.33,,seedling
TREP,606,59.8,45.41,1,sapling
TRC,148,75.5,45.46,,seedling
RREP,227,135.3,45.9,,seedling
RREP,247,249.26,45.94,,seedling
TRC,146b,73.36,46.01,,seedling
RREP,263,285.96,46.05,,seedling
TREP,617,119.4,46.12,2.5,sapling
RREP,208,15.8,46.2,,seedling
TRC,147,73.69,46.25,,seedling
LREP,276,24,46.33,20,adult
RREP,228,132.84,46.33,,seedling
TRC,144,72.02,46.34,,seedling
TREP,607,68.5,46.35,5.5,sapling
RREP,250,252.97,46.36,,seedling
TREP,573,6.6,46.44,17,adult
RA,W124,33.7,46.5,0.34,seedling
RREP,210,23.27,46.6,,seedling
TREP,612,107.55,46.7,1,sapling
TREP,586,27.9,46.8,0.09,seedling
LA,75,94.18,46.82,,sapling
TREP,621,130.2,46.82,2.6,sapling
TRC,145,74.04,46.87,,seedling
RREP,241,193.03,46.88,,seedling
RREP,233,0,46.98,0.15,seedling
TREP,590,27.15,46.98,0.11,seedling
RREP,233,171.9,46.98,,seedling
RREP,233,0,46.98,0.15,seedling
TREP,588,27.65,47,0.1,seedling
RA,O57,150.1,47,0.14,seedling
RREP,261,283.97,47.04,,sapling
TRC,120,175.06,47.13,,seedling
TREP,587,27.86,47.18,0.09,seedling
RREP,259,279.02,47.26,,seedling
RREP,254,258.41,47.28,,seedling
RREP,231,154.35,47.32,,seedling
RREP,255,257.17,47.35,,seedling
TREP,593,24.8,47.42,0.1,seedling
RREP,211,25.54,47.44,,seedling
RREP,219,63.71,47.44,,seedling
TREP,589,27.37,47.48,0.1,seedling
RA,R29,62.8,47.5,0.3,seedling
RREP,218,50.1,47.51,,seedling
TREP,599,38.9,47.56,0.2,seedling
LA,53,156.97,47.56,,sapling
RREP,220b,113,47.59,,seedling
TREP,594,21.3,47.6,0.11,seedling
LA,15R,132.68,47.65,,sapling
RREP,205,10.32,47.68,,seedling
TREP,629,156.25,47.77,0.2,seedling
RREP,249,239.8,47.8,,sapling
TREP,632,177.9,47.85,2.8,sapling
TREP,600,38.89,47.86,0.13,seedling
TRC,150,42.5,47.94,,seedling
TREP,631,170.65,47.94,0.12,seedling
RREP,242,192.8,47.98,,seedling
RA,R89,65.2,48,0.4,seedling
RA,R71,67,48,0.13,seedling
LA,R2,71.4,48,,seedling
RA,R15,73.8,48,0.19,seedling
RA,O94,174.5,48,0.23,seedling
RREP,222,127.95,48.04,,adult
TRC,151,43.55,48.07,,seedling
TRC,149,43.35,48.28,,seedling
TREP,634,197.68,48.3,0.25,seedling
RREP,207,17.6,48.32,,seedling
TRC,135,100.19,48.34,,seedling
TRC,154,42.55,48.41,,seedling
TREP,592,23.43,48.45,0.1,seedling
TREP,613,104.75,48.45,0.4,seedling
LA,74,97.56,48.5,,sapling
RREP,267,297.62,48.5,,seedling
TRC,152,42.85,48.55,,seedling
TRC,153,42.84,48.58,,seedling
TREP,615,114.05,48.65,10,sapling
TREP,633,199.15,48.7,0.2,seedling
RREP,246,240.15,48.77,,seedling
RREP,215,55.82,48.84,,seedling
TREP,591,22.32,48.85,0.11,seedling
TREP,601,30.33,48.85,20,adult
TREP,630,160.19,48.9,8.5,sapling
RA,R22,51.2,49,0.17,seedling
RA,O3,123.7,49,0.14,seedling
LA,52,160.05,49.03,,sapling
TRC,P24,11.75,49.3,,seedling
RREP,243,193.84,49.36,,seedling
RREP,225,130.12,49.44,,seedling
LA,22R,89.56,49.45,,seedling
TREP,571,-0.41,49.5,1.2,sapling
TREP,625,148.4,49.55,0.16,seedling
RA,W123,34,49.6,0.25,seedling
RREP,260,286.21,49.6,,sapling
RREP,239,189.95,49.61,,seedling
RREP,229,135.15,49.65,,seedling
RREP,212,26.53,49.7,,seedling
TREP,572,7.43,49.71,0.13,seedling
RREP,209,17.14,49.71,,seedling
TREP,614,103.9,49.8,0.39,seedling
RREP,257,265.02,49.8,,seedling
TREP,650,28.81,50,0.1,seedling
RREP,296,113.07,50,0.1,seedling
RA,O78,124,50,0.31,seedling
RA,O82,124,50,0.31,seedling
TREP,669,141.35,50.05,0.1,seedling
TREP,652,23.49,50.19,0.1,seedling
RREP,329,212.98,50.2,0.15,seedling
RA,W126,27.2,50.26,0.26,seedling
TREP,648,29.9,50.29,0.11,seedling
TREP,649,29.59,50.32,0.12,seedling
RREP,321,194.13,50.36,0.1,seedling
TREP,651,23.68,50.4,0.1,seedling
TRC,7,25.09,50.41,,seedling
TREP,635,5.9,50.48,0.1,seedling
TRC,P48,92.03,50.5,,seedling
RA,O71,159,50.5,0.1,seedling
TRC,3,31.54,50.53,,seedling
TREP,663,113.69,50.54,0.1,seedling
RREP,316,160.32,50.6,0.15,seedling
RREP,295,113.66,50.63,0.35,seedling
TREP,668,133.13,50.76,0.12,seedling
LA,R94,134.85,50.8,,seedling
TREP,670,142.03,50.81,0.2,seedling
RREP,297,116.83,50.83,0.15,seedling
TREP,665,117.38,50.85,0.1,seedling
TREP,679,181.68,50.85,0.06,seedling
RREP,293,105.26,50.87,0.46,seedling
RREP,277,26.6,50.88,0.15,seedling
